id,商品名,DB有効成分,DB分類,前回採用製品名,前回判明成分,出典URL,正の有効成分(再確認),DB成分は正しいか(○/×/要確認),商品名は一意か(○/×/複数),判断根拠
P01,ベルクート,アゾキシストロビン,fungicide,ベルクート水和剤,イミノクタジンアルベシル酸塩,https://www.nippon-soda.co.jp/nougyo/product/4434/,イミノクタジンアルベシル酸塩,×,複数,採用: ベルクート水和剤。成分はイミノクタジンアルベシル酸塩。ベルクートにはフロアブル剤もあるため剤型を明記。
P02,キノンドー,キノキサリン系,fungicide,キノンドーフロアブル,有機銅,https://www.city.hokota.lg.jp/data/doc/1734312316_doc_40_0.pdf,有機銅,×,複数,採用: キノンドーフロアブル（いちご登録あり）。成分は有機銅。顆粒水和剤等もあるため剤型を明記。
P03,ゲッター,フルアジナム,fungicide,ゲッター水和剤,ジエトフェンカルブ・チオファネートメチル,https://www.city.hokota.lg.jp/data/doc/1734312316_doc_40_0.pdf,ジエトフェンカルブ・チオファネートメチル,×,○,採用: ゲッター水和剤。成分はジエトフェンカルブ・チオファネートメチル。
P04,ランマン,シアゾファミド,fungicide,ランマンフロアブル,シアゾファミド,https://www.city.hokota.lg.jp/data/doc/1734312316_doc_40_0.pdf,シアゾファミド,○,○,採用: ランマンフロアブル。成分はシアゾファミドでDBと一致。
P07,パンチョ,フルアジナム＋他,fungicide,パンチョTF顆粒水和剤,シフルフェナミド・トリフルミゾール,https://www.city.hokota.lg.jp/data/doc/1734312316_doc_40_0.pdf,シフルフェナミド・トリフルミゾール,×,○,採用: パンチョTF顆粒水和剤。成分はシフルフェナミド・トリフルミゾール。
P08,シグナム,ボスカリド＋ピラクロストロビン,fungicide,シグナムWDG,ボスカリド・ピラクロストロビン,https://pesticide.maff.go.jp/,ボスカリド・ピラクロストロビン,○,○,採用: シグナムWDG。成分はボスカリド・ピラクロストロビンでDBと一致。
P09,ファンタジスタ,ピラクロストロビン,fungicide,ファンタジスタ顆粒水和剤,ピリベンカルブ,https://www.kumiai-chem.co.jp/products/document/fantasista_wdg.html,ピリベンカルブ,×,○,採用: ファンタジスタ顆粒水和剤。成分はピリベンカルブ。
P10,ダブルフェース,シエノピラン,fungicide,ダブルフェースフロアブル,ピフルブミド・フェンピロキシメート,https://www.nichino.co.jp/products/query/id2.php?id=424,ピフルブミド・フェンピロキシメート,×,○,採用: ダブルフェースフロアブル。成分はピフルブミド・フェンピロキシメート。いちご登録あり。
P11,トレノックス,テブコナゾール,fungicide,製品を一意に特定できず,,https://pesticide.maff.go.jp/,チウラム,×,○,採用: トレノックスフロアブル。成分はチウラム。
P13,プレバソン,イミノクタジン,fungicide,プレバソンフロアブル5,クロラントラニリプロール,https://www.hokkochem.co.jp/archives/nouyaku/22464,クロラントラニリプロール,×,○,採用: プレバソンフロアブル5。成分はクロラントラニリプロール。
